N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"58,500",300,-0.51%,100,"3,492,323","5,969,783",55.97,"21,289,165",18.30,8.69,
2,SK하이닉스,"83,200","1,800",+2.21%,"5,000","605,698","728,002",48.64,"3,762,724",26.50,4.25,
3,NAVER,"298,500","15,500",+5.48%,100,"490,326","164,263",55.82,"1,616,669",69.58,10.56,
4,삼성바이오로직스,"733,000","34,000",+4.86%,"2,500","484,989","66,165",10.02,"250,704",141.21,4.77,
5,LG화학,"650,000","6,000",-0.91%,"5,000","458,850","70,592",39.93,"469,524",112.05,1.84,
6,삼성전자우,"52,200",0,0.00%,100,"429,547","822,887",86.27,"1,421,578",16.33,N/A,
7,현대차,"171,500","1,000",+0.59%,"5,000","366,441","213,668",31.03,"1,687,018",24.71,4.32,
8,셀트리온,"270,500","11,500",+4.44%,"1,000","365,158","134,994",20.50,"1,307,430",91.23,11.19,
9,카카오,"359,500","23,000",+6.84%,500,"317,251","88,248",31.53,"1,420,346",-205.43,-5.81,
10,삼성SDI,"459,500",0,0.00%,"5,000","315,973","68,765",42.71,"491,436",168.81,2.94,
11,LG생활건강,"1,505,000","12,000",-0.79%,"5,000","235,054","15,618",45.52,"29,120",34.32,20.32,
12,현대모비스,"226,500",500,+0.22%,"5,000","215,299","95,055",42.63,"476,696",12.34,7.28,
13,삼성물산,"114,000","1,500",+1.33%,100,"213,051","186,887",13.81,"817,163",19.92,4.77,
14,기아차,"51,500",500,+0.98%,"5,000","208,762","405,363",38.21,"2,923,895",19.61,6.50,
15,POSCO,"219,000","1,500",-0.68%,"5,000","190,939","87,187",50.85,"315,898",20.82,4.18,
16,엔씨소프트,"837,000","55,000",+7.03%,500,"183,755","21,954",48.35,"196,664",35.25,14.72,
17,SK텔레콤,"218,500",500,-0.23%,500,"176,429","80,746",34.32,"300,955",17.93,3.92,
18,KB금융,"41,550","1,100",-2.58%,"5,000","172,768","415,808",65.64,"2,635,297",5.44,8.92,
19,신한지주,"31,150",850,-2.66%,"5,000","160,898","516,527",58.02,"4,498,601",4.68,9.09,
20,LG전자,"86,100",200,-0.23%,"5,000","140,901","163,648",35.60,"598,671",34.55,0.22,
21,삼성에스디에스,"174,500",500,+0.29%,500,"135,024","77,378",12.11,"96,534",25.91,11.76,
22,SK바이오팜,"169,000","10,000",+6.29%,500,"132,349","78,313",2.57,"905,215",-153.64,-313.66,
23,SK,"186,500",500,+0.27%,200,"131,222","70,360",21.61,"162,717",-359.34,4.31,
24,한국전력,"20,300",150,-0.73%,"5,000","130,319","641,964",17.20,"2,029,043",-14.15,-3.42,
25,삼성생명,"63,500",500,-0.78%,500,"127,000","200,000",12.44,"486,292",14.12,3.26,
26,LG,"70,800",200,+0.28%,"5,000","122,170","172,557",34.65,"217,239",15.11,5.87,
27,SK이노베이션,"132,000",500,+0.38%,"5,000","122,055","92,466",23.68,"591,313",-5.41,-0.20,
28,KT&G,"83,300",100,-0.12%,"5,000","114,365","137,292",41.50,"267,280",11.14,12.39,
29,넷마블,"124,000","2,000",+1.64%,100,"106,445","85,843",23.02,"343,015",51.30,3.54,
30,삼성전기,"139,000","2,500",+1.83%,"5,000","103,824","74,694",33.33,"520,827",42.78,10.18,
31,아모레퍼시픽,"164,000","2,000",+1.23%,500,"95,872","58,458",29.63,"159,280",82.45,5.36,
32,하나금융지주,"31,800","1,050",-3.20%,"5,000","95,477","300,242",64.17,"3,006,537",3.77,8.77,
33,삼성화재,"183,000","4,000",-2.14%,500,"86,696","47,375",46.34,"143,487",13.99,4.85,
34,롯데케미칼,"240,000","8,500",-3.42%,"5,000","82,261","34,275",27.62,"399,087",45.79,5.51,
35,고려아연,"387,500","1,500",-0.39%,"5,000","73,121","18,870",23.66,"37,014",13.29,9.76,
36,신풍제약,"134,500",0,0.00%,500,"71,265","52,985",9.86,"1,183,293","4,075.76",0.80,
37,한화솔루션,"42,700","4,150",-8.86%,"5,000","68,262","159,864",19.47,"16,643,260",-41.22,-4.02,
38,우리금융지주,"9,300",10,-0.11%,"5,000","67,171","722,268",25.89,"1,943,876",4.91,N/A,
39,현대글로비스,"171,000","2,500",-1.44%,500,"64,125","37,500",35.79,"259,635",11.65,11.25,
40,한온시스템,"11,900",350,+3.03%,100,"63,522","533,800",20.62,"834,077",38.14,14.98,
41,S-Oil,"56,400",400,-0.70%,"2,500","63,497","112,583",73.75,"268,786",-7.75,1.01,
42,기업은행,"8,450",50,-0.59%,"5,000","62,417","738,664",10.61,"1,877,168",4.04,7.36,
43,KT,"22,850",200,+0.88%,"5,000","59,664","261,112",43.49,"759,122",9.96,4.61,
44,한국조선해양,"83,300","2,300",+2.84%,"5,000","58,954","70,773",15.43,"513,592",56.02,1.40,
45,CJ제일제당,"387,000","24,000",+6.61%,"5,000","58,260","15,054",23.49,"93,307",9.74,3.16,
46,미래에셋대우,"8,810",40,+0.46%,"5,000","56,852","645,316",14.08,"1,656,298",10.49,7.56,
47,빅히트,"149,000","3,000",-1.97%,500,"53,079","35,624",3.31,"325,194",N/A,56.47,
48,LG디스플레이,"14,700",150,-1.01%,"5,000","52,599","357,816",22.47,"1,339,233",-1.81,-22.35,
49,코웨이,"70,200",200,+0.29%,500,"51,807","73,800",60.99,"225,147",14.76,30.74,
50,LG유플러스,"11,450",50,-0.43%,"5,000","49,992","436,611",31.31,"2,193,864",10.00,6.30,
51,KODEX 200,"31,405",195,+0.62%,0,"49,887","158,850",12.68,"12,011,549",N/A,N/A,
52,한진칼,"81,700","1,900",+2.38%,"2,500","48,342","59,170",17.40,"219,795",-12.58,-17.56,
53,포스코케미칼,"78,300",200,+0.26%,500,"47,754","60,988",7.25,"372,378",92.33,11.57,
54,오리온,"118,000","5,000",+4.42%,500,"46,653","39,536",43.10,"181,545",17.60,14.24,
55,강원랜드,"21,650",0,0.00%,500,"46,318","213,940",23.81,"401,184",-227.89,9.16,
56,SK케미칼,"392,000","24,500",+6.67%,"5,000","46,026","11,741",12.71,"1,414,917",20.17,1.51,
57,녹십자,"382,500","4,500",+1.19%,"5,000","44,701","11,687",18.89,"2,764,738",748.53,-0.35,
58,유한양행,"64,100","1,100",+1.75%,"1,000","42,855","66,857",20.82,"417,938",25.86,2.43,
59,이마트,"150,000","2,000",+1.35%,"5,000","41,814","27,876",31.38,"131,788",7.52,2.76,
60,금호석유,"134,500","1,000",-0.74%,"5,000","40,979","30,468",30.65,"413,857",15.39,11.84,
61,현대제철,"29,750",700,-2.30%,"5,000","39,700","133,446",18.85,"1,496,677",-14.76,0.10,
62,한국금융지주,"70,900",500,-0.70%,"5,000","39,510","55,726",30.80,"273,239",6.71,18.14,
63,한국타이어앤테크놀로지,"31,750",350,+1.11%,500,"39,330","123,875",37.74,"342,480",13.27,6.03,
64,맥쿼리인프라,"11,000",50,-0.45%,0,"38,395","349,044",15.16,"767,545",N/A,N/A,
65,아모레G,"45,500",300,+0.66%,500,"37,518","82,458",19.69,"111,156",62.07,4.12,
66,한미사이언스,"56,600","1,200",+2.17%,500,"37,362","66,011",1.82,"114,637",131.93,4.73,
67,CJ대한통운,"162,000","1,000",-0.61%,"5,000","36,956","22,812",22.14,"55,321",40.89,1.41,
68,LG이노텍,"155,500","3,500",+2.30%,"5,000","36,802","23,667",35.23,"169,086",16.10,4.73,
69,삼성카드,"31,150",100,-0.32%,"5,000","36,090","115,859",9.96,"108,689",9.63,5.04,
70,대한항공,"20,250",400,-1.94%,"5,000","35,277","174,210",12.77,"1,488,825",-3.02,-22.09,
71,현대건설,"31,550",400,+1.28%,"5,000","35,133","111,356",19.81,"847,922",10.44,6.30,
72,두산중공업,"13,850",500,-3.48%,"5,000","35,060","253,141",7.93,"7,222,965",-2.97,-14.73,
73,현대중공업지주,"221,500","1,000",-0.45%,"5,000","34,994","15,799",17.57,"26,858",-15.62,2.20,
74,한미약품,"283,000",500,+0.18%,"2,500","33,516","11,843",13.91,"49,911",92.97,7.30,
75,삼성중공업,"5,150",70,+1.38%,"5,000","32,445","630,000",14.77,"2,942,101",-1.78,-21.88,
76,에스원,"84,900","2,200",+2.66%,500,"32,261","37,999",55.37,"47,450",21.81,11.32,
77,DB손해보험,"45,500",850,-1.83%,500,"32,214","70,800",40.36,"153,266",5.95,6.92,
78,GS,"33,800",450,-1.31%,"5,000","31,405","92,915",19.71,"266,262",-27.96,6.26,
79,더존비즈온,"104,500","1,000",+0.97%,500,"31,286","29,939",44.82,"40,827",65.23,18.78,
80,HMM,"9,440",140,+1.51%,"5,000","30,843","326,726",7.41,"12,770,078",-12.10,-55.46,
81,롯데지주,"29,350",100,+0.34%,200,"30,791","104,909",11.09,"83,994",-4.43,-5.21,
82,SKC,"81,500","1,100",+1.37%,"5,000","30,591","37,535",8.31,"418,004",29.53,3.86,
83,두산밥캣,"30,050","1,450",-4.60%,500,"30,125","100,249",21.11,"859,010",16.46,7.05,
84,현대차2우B,"81,700",0,0.00%,"5,000","29,809","36,485",61.03,"67,681",11.77,N/A,
85,호텔신라,"75,300",600,-0.79%,"5,000","29,554","39,248",20.57,"308,952",-39.82,20.16,
